"customer_key","customer_name","gender","customer_country","customer_continent","order_count","units_purchased","revenue_usd","profit_usd","avg_line_revenue_usd","first_order_date","last_order_date","customer_lifespan_days"
"3575","Noah McFarland","Male","Australia","Australia","1","3","774.00","418.05","774.00","2016-02-26","2016-02-26","0"
"3964","Rose Code","Female","Australia","Australia","1","6","1506.00","813.42","1506.00","2017-02-08","2017-02-08","0"
"4174","Rebecca Yelverton","Female","Australia","Australia","2","14","4465.53","2400.40","893.11","2019-01-01","2020-11-25","694"
"5097","Bella Foley","Female","Australia","Australia","1","2","43.14","21.14","43.14","2016-01-05","2016-01-05","0"
"5445","Jake Clibborn","Male","Australia","Australia","1","3","600.00","324.09","600.00","2017-11-02","2017-11-02","0"
"5962","Aiden Dugdale","Male","Australia","Australia","2","18","5377.61","2944.91","672.20","2016-05-12","2018-06-22","771"
"6258","Zac Hull","Male","Australia","Australia","1","17","4394.00","2256.76","1464.67","2020-12-24","2020-12-24","0"
"6308","Taj Sexton","Male","Australia","Australia","1","8","1117.48","717.75","372.49","2019-07-05","2019-07-05","0"
"7109","Hamish Bolton","Male","Australia","Australia","1","8","494.95","242.61","247.48","2018-05-17","2018-05-17","0"
"7566","William Prenzel","Male","Australia","Australia","1","12","3142.00","1646.46","1047.33","2019-08-31","2019-08-31","0"
"7700","Lucas Keenan","Male","Australia","Australia","1","3","182.97","98.82","182.97","2018-08-31","2018-08-31","0"
"7783","Charli Gullett","Female","Australia","Australia","1","5","1299.95","869.25","1299.95","2019-09-13","2019-09-13","0"
"8098","Alana Belt","Female","Australia","Australia","1","3","2094.00","1323.22","698.00","2019-08-21","2019-08-21","0"
"8181","Amelie Nairn","Female","Australia","Australia","1","15","1991.94","1286.94","995.97","2020-02-19","2020-02-19","0"
"8789","Layla Mackellar","Female","Australia","Australia","1","10","1499.50","735.00","749.75","2018-09-06","2018-09-06","0"
"8945","Summer MacMahon","Female","Australia","Australia","1","10","1638.90","871.74","546.30","2019-12-19","2019-12-19","0"
"9167","Luke Bushby","Male","Australia","Australia","1","3","227.97","111.75","227.97","2019-10-01","2019-10-01","0"
"9184","Sam Zimpel","Male","Australia","Australia","2","14","26039.44","17379.66","6509.86","2017-10-26","2018-07-04","251"
"9456","Ryder Abdullah","Male","Australia","Australia","2","16","7130.49","3930.63","891.31","2020-06-03","2020-07-18","45"
"9812","Kaitlyn Morshead","Female","Australia","Australia","3","11","4339.40","2863.94","723.23","2016-08-18","2021-01-21","1617"
"9915","Ebony Buxton","Female","Australia","Australia","1","14","13569.00","7896.25","3392.25","2017-09-06","2017-09-06","0"
"10039","Brianna Hann","Female","Australia","Australia","1","3","899.97","441.15","899.97","2019-11-12","2019-11-12","0"
"10299","Anthony Macvitie","Male","Australia","Australia","1","4","419.96","205.87","209.98","2017-01-28","2017-01-28","0"
"10393","Nicholas Moncrieff","Male","Australia","Australia","1","7","2310.00","1247.68","2310.00","2020-07-20","2020-07-20","0"
"11035","Makayla Meldrum","Female","Australia","Australia","1","1","268.00","179.21","268.00","2020-02-15","2020-02-15","0"
"12160","Jett Creal","Male","Australia","Australia","2","29","7465.78","3755.46","829.53","2016-03-03","2018-06-13","832"
"12365","Natalie Lyon","Female","Australia","Australia","1","8","1719.97","998.38","859.99","2020-03-14","2020-03-14","0"
"12392","Laura Waterhouse","Female","Australia","Australia","1","17","7988.67","4262.10","1331.45","2018-12-29","2018-12-29","0"
"12649","Rose Raven","Female","Australia","Australia","1","9","62.91","30.87","62.91","2020-02-20","2020-02-20","0"
"12729","Xavier Sturdee","Male","Australia","Australia","4","23","6990.45","3894.84","1165.08","2016-12-24","2019-08-21","970"
"12859","Koby Rayment","Male","Australia","Australia","1","3","545.68","275.66","272.84","2019-12-28","2019-12-28","0"
"13045","Abbey Storkey","Female","Australia","Australia","2","6","1785.72","1001.81","595.24","2016-12-07","2018-07-07","577"
"13071","Claudia Fuller","Female","Australia","Australia","1","2","749.00","367.13","374.50","2020-11-14","2020-11-14","0"
"13365","Mitchell Cutlack","Male","Australia","Australia","1","1","109.00","53.43","109.00","2021-02-19","2021-02-19","0"
"14069","Jacob Gairdner","Male","Australia","Australia","1","3","837.00","452.10","837.00","2018-12-19","2018-12-19","0"
"14180","Ava Lockyer","Female","Australia","Australia","1","5","864.78","467.10","432.39","2016-01-19","2016-01-19","0"
"14906","Grace Houghton","Female","Australia","Australia","1","12","770.42","416.70","256.81","2017-09-07","2017-09-07","0"
"14962","Mackenzie Newell","Female","Australia","Australia","2","19","15810.83","10384.83","2635.14","2017-12-09","2019-11-01","692"
"14988","Emily Thirkell","Female","Australia","Australia","1","11","6001.97","3654.14","1200.39","2019-03-01","2019-03-01","0"
"15391","Elizabeth Horsley","Female","Australia","Australia","1","6","497.97","265.99","165.99","2018-01-05","2018-01-05","0"
"15718","Natalie Tennant","Female","Australia","Australia","1","14","2072.51","1109.94","345.42","2020-01-13","2020-01-13","0"
"16716","Abby Frater","Female","Australia","Australia","1","12","1889.08","1066.25","629.69","2019-07-15","2019-07-15","0"
"17412","Mitchell Kwok","Male","Australia","Australia","3","24","2083.31","1230.76","347.22","2018-05-15","2018-09-28","136"
"17811","Alicia Hoy","Female","Australia","Australia","1","14","2727.20","1472.48","909.07","2018-12-20","2018-12-20","0"
"18309","Michael Vogt","Male","Australia","Australia","1","4","511.95","250.95","255.98","2018-06-13","2018-06-13","0"
"18470","Zac Pryor","Male","Australia","Australia","3","16","1811.69","1039.34","301.95","2017-11-14","2021-02-02","1176"
"18493","George Kevin","Male","Australia","Australia","1","8","350.48","189.28","350.48","2016-06-14","2016-06-14","0"
"18887","Zara Castleton","Female","Australia","Australia","1","10","1328.36","817.68","442.79","2017-08-12","2017-08-12","0"
"19082","Matthew Denman","Male","Australia","Australia","3","12","4469.97","2799.51","893.99","2019-08-08","2020-08-22","380"
"19207","Luke Casimaty","Male","Australia","Australia","2","11","2282.64","1413.29","570.66","2016-10-13","2019-05-28","957"
"19404","Cody O'Hea","Male","Australia","Australia","1","3","657.00","439.32","328.50","2020-02-17","2020-02-17","0"
"19534","Leah Martin","Female","Australia","Australia","1","10","870.02","499.71","290.01","2018-08-09","2018-08-09","0"
"19726","Victoria Daly","Female","Australia","Australia","1","3","857.00","435.02","428.50","2020-03-06","2020-03-06","0"
"19753","Alyssa Solander","Female","Australia","Australia","2","11","684.85","363.92","228.28","2018-08-15","2018-12-19","126"
"20069","Jesse Parry-Okeden","Male","Australia","Australia","4","25","3086.31","1774.57","385.79","2019-01-09","2019-12-19","344"
"20092","Victoria Fitzsimmons","Female","Australia","Australia","2","27","4190.91","2371.07","838.18","2018-12-11","2019-09-16","279"
"20237","Riley Montefiore","Male","Australia","Australia","1","23","5071.45","3074.51","845.24","2019-12-31","2019-12-31","0"
"20623","Eva Rendall","Female","Australia","Australia","3","22","3760.68","2332.72","752.14","2018-06-06","2019-12-31","573"
"20946","Taylah Walstab","Female","Australia","Australia","1","15","5816.79","3761.09","1163.36","2018-11-09","2018-11-09","0"
"21203","Tristan Dobie","Male","Australia","Australia","1","2","872.40","583.36","872.40","2016-11-19","2016-11-19","0"
"21424","Justin Tickell","Male","Australia","Australia","2","18","6951.89","3754.98","1390.38","2019-12-28","2020-08-06","222"
"21460","Kayla De Beuzeville","Female","Australia","Australia","1","14","3668.88","1944.53","611.48","2020-12-26","2020-12-26","0"
"21523","Jayden Rennie","Male","Australia","Australia","1","14","10395.99","6743.95","2599.00","2017-02-23","2017-02-23","0"
"21575","Zac Chumleigh","Male","Australia","Australia","1","1","429.00","231.72","429.00","2016-06-14","2016-06-14","0"
"21819","Matilda Blacklock","Female","Australia","Australia","2","6","1001.96","544.90","333.99","2016-09-29","2019-02-26","880"
"22540","Connor Ruwolt","Male","Australia","Australia","2","40","22548.08","12171.56","2818.51","2019-09-28","2019-12-26","89"
"23203","Gemma Philipp","Female","Australia","Australia","3","16","3243.82","1754.53","360.42","2018-05-25","2019-12-19","573"
"23267","Gabrielle Zinnbauer","Female","Australia","Australia","1","2","1508.99","1002.96","754.50","2017-10-26","2017-10-26","0"
"23320","Samantha Weigel","Female","Australia","Australia","1","4","639.96","345.68","639.96","2019-08-26","2019-08-26","0"
"23599","Maddison Blanc","Female","Australia","Australia","1","15","3853.96","2285.01","963.49","2019-02-09","2019-02-09","0"
"25771","Mikayla Shenton","Female","Australia","Australia","3","12","2979.98","1603.48","745.00","2017-02-15","2018-01-06","325"
"25864","Zane Corkill","Male","Australia","Australia","3","17","3206.63","1710.61","641.33","2018-08-27","2019-09-14","383"
"26477","Caleb Willshire","Male","Australia","Australia","1","17","7543.88","4915.59","1257.31","2017-10-11","2017-10-11","0"
"26642","Noah Moloney","Male","Australia","Australia","1","8","2194.93","1410.48","1097.47","2016-04-30","2016-04-30","0"
"26728","Gemma Allan","Female","Australia","Australia","1","7","13096.96","8565.27","6548.48","2019-09-29","2019-09-29","0"
"27356","Hamish D'Hage","Male","Australia","Australia","2","9","1572.33","845.88","393.08","2018-06-07","2018-07-23","46"
"27492","Bianca Coombe","Female","Australia","Australia","3","30","7054.15","4260.98","705.42","2018-01-09","2019-12-18","708"
"27616","Cameron Tebbutt","Male","Australia","Australia","2","16","2827.51","1642.23","471.25","2017-08-31","2019-03-09","555"
"27945","Charlie Stralia","Male","Australia","Australia","1","2","65.98","35.64","65.98","2017-08-25","2017-08-25","0"
"28690","Leo Walcott","Male","Australia","Australia","2","9","905.94","487.26","452.97","2019-09-02","2020-06-27","299"
"29041","Logan Barling","Male","Australia","Australia","1","8","4610.00","2464.65","2305.00","2017-11-25","2017-11-25","0"
"29278","Justin Hartog","Male","Australia","Australia","1","1","158.00","85.34","158.00","2018-12-26","2018-12-26","0"
"29475","Madison Pocock","Female","Australia","Australia","1","8","608.64","318.86","202.88","2019-11-23","2019-11-23","0"
"29555","Owen Edouard","Male","Australia","Australia","3","14","4383.40","2836.58","1461.13","2017-07-25","2021-01-20","1275"
"29647","Jessica Maynard","Female","Australia","Australia","1","8","1677.56","825.18","559.19","2018-11-16","2018-11-16","0"
"29689","Alexis Phillipps","Female","Australia","Australia","2","17","12177.99","7921.11","2029.67","2019-11-09","2020-01-01","53"
"29812","Marcus Napier","Male","Australia","Australia","1","2","327.83","163.58","163.92","2018-07-10","2018-07-10","0"
"29973","Lauren Langton","Female","Australia","Australia","2","20","3179.99","1722.21","530.00","2019-11-09","2020-06-25","229"
"30090","George Farrer","Male","Australia","Australia","2","10","1110.96","655.33","222.19","2019-07-04","2019-11-09","128"
"31086","Kate Snowden","Female","Australia","Australia","1","8","369.50","193.58","92.38","2019-07-17","2019-07-17","0"
"31164","Hunter Boehm","Male","Australia","Australia","1","12","8059.92","4791.76","2686.64","2017-05-12","2017-05-12","0"
"31236","Abby Warburton","Female","Australia","Australia","1","11","5009.00","3349.40","2504.50","2017-02-11","2017-02-11","0"
"31784","Zac Scherk","Male","Australia","Australia","1","14","1951.93","1179.67","650.64","2019-09-24","2019-09-24","0"
"32037","Aaron Knopwood","Male","Australia","Australia","2","19","3240.13","1708.10","540.02","2018-09-01","2018-10-28","57"
"32455","Charlotte Crane","Female","Australia","Australia","1","3","4425.00","2958.90","4425.00","2017-09-30","2017-09-30","0"
"32488","Max Wylie","Male","Australia","Australia","1","1","32.00","15.69","32.00","2019-12-23","2019-12-23","0"
"32511","Jasper Glassop","Male","Australia","Australia","1","17","16082.82","10161.99","4020.71","2019-07-17","2019-07-17","0"
"32538","Eva Hazon","Female","Australia","Australia","1","2","592.00","395.86","592.00","2020-05-09","2020-05-09","0"
"33036","Tyler Galvin","Male","Australia","Australia","2","5","1209.68","634.30","403.23","2018-08-25","2018-09-06","12"
"33205","Andrew Hollway","Male","Australia","Australia","4","32","3871.54","2077.12","387.15","2018-12-21","2020-02-10","416"
"33444","Brodie Thirkell","Male","Australia","Australia","3","24","10384.91","6207.79","1298.11","2018-12-29","2019-11-02","308"
"34081","Imogen Permewan","Female","Australia","Australia","4","30","9588.53","5154.32","1198.57","2017-02-10","2018-12-26","684"
"34143","John Gowlland","Male","Australia","Australia","1","7","4726.00","2973.80","1575.33","2020-02-03","2020-02-03","0"
"34431","Leo Badger","Male","Australia","Australia","1","1","28.00","13.72","28.00","2018-07-21","2018-07-21","0"
"34850","Caitlin O'Loghlin","Female","Australia","Australia","2","6","2477.96","1574.72","1238.98","2016-02-25","2017-08-19","541"
"34915","Kate Byles","Female","Australia","Australia","1","2","56.00","27.44","56.00","2019-07-06","2019-07-06","0"
"35257","Ella Oxenham","Female","Australia","Australia","2","7","120.79","63.30","40.26","2016-06-14","2019-07-15","1126"
"35703","Rory Cotton","Male","Australia","Australia","1","5","715.98","443.11","238.66","2018-11-14","2018-11-14","0"
"35733","Charlotte Shaw","Female","Australia","Australia","3","29","8441.27","5158.80","937.92","2019-12-20","2020-06-30","193"
"35795","Riley Clegg","Male","Australia","Australia","1","13","8790.72","5480.93","1758.14","2019-02-16","2019-02-16","0"
"36112","Emma Gepp","Female","Australia","Australia","2","22","2939.55","1680.86","419.94","2018-07-05","2019-11-05","488"
"36336","Anna Burston","Female","Australia","Australia","1","1","1592.20","1064.67","1592.20","2018-09-01","2018-09-01","0"
"36418","Jorja Whitlam","Female","Australia","Australia","1","2","1026.88","679.21","513.44","2021-02-08","2021-02-08","0"
"36507","Joseph Paten","Male","Australia","Australia","2","28","5605.50","2936.30","934.25","2018-07-21","2019-12-28","525"
"37070","Alyssa Hooker","Female","Australia","Australia","3","19","8240.35","4126.34","2060.09","2017-12-27","2019-11-07","680"
"37251","Leo Scerri","Male","Australia","Australia","1","13","3779.49","1920.04","1259.83","2018-01-23","2018-01-23","0"
"37408","Jaxon Rebell","Male","Australia","Australia","1","12","4562.95","2444.61","1140.74","2018-12-01","2018-12-01","0"
"37580","Mariam Baylee","Female","Australia","Australia","1","2","599.55","323.84","299.78","2019-09-21","2019-09-21","0"
"37585","Lauren Fink","Female","Australia","Australia","1","11","4032.98","2177.64","1344.33","2021-02-16","2021-02-16","0"
"37802","Luke Byron","Male","Australia","Australia","3","40","8883.96","4873.42","888.40","2017-01-07","2019-01-22","745"
"37991","Cooper Gillison","Male","Australia","Australia","2","15","6893.00","4502.26","1723.25","2017-11-15","2019-11-13","728"
"38006","Lachlan Postle","Male","Australia","Australia","1","1","6.99","3.43","6.99","2018-09-10","2018-09-10","0"
"38036","Kiara Schaw","Female","Australia","Australia","1","4","1049.80","540.06","524.90","2018-05-31","2018-05-31","0"
"38195","Sara Roe","Female","Australia","Australia","3","31","6548.02","3655.19","654.80","2018-02-22","2020-02-15","723"
"38212","Stella Cain","Female","Australia","Australia","1","4","400.99","216.25","133.66","2019-11-29","2019-11-29","0"
"38613","Hamish Mason","Male","Australia","Australia","3","33","6230.10","3791.50","692.23","2016-02-19","2019-03-07","1112"
"39246","Darcy Falconer","Male","Australia","Australia","1","4","2154.00","1350.37","1077.00","2016-06-16","2016-06-16","0"
"39268","Madeleine Marx","Female","Australia","Australia","1","5","389.95","191.15","389.95","2018-11-29","2018-11-29","0"
"39314","Leo Ligar","Male","Australia","Australia","1","6","453.56","256.76","226.78","2018-11-05","2018-11-05","0"
"39582","Mason Therry","Male","Australia","Australia","2","18","5555.00","3355.25","1851.67","2017-12-21","2018-11-24","338"
"39592","Alicia Muntz","Female","Australia","Australia","1","10","2016.93","1089.44","1008.47","2018-06-15","2018-06-15","0"
"39894","Samantha Begg","Female","Australia","Australia","1","8","879.92","431.28","879.92","2016-02-09","2016-02-09","0"
"39927","Bailey Barnet","Male","Australia","Australia","1","6","2080.97","1181.86","693.66","2018-11-17","2018-11-17","0"
"40363","Alyssa Henslowe","Female","Australia","Australia","1","14","5489.15","2765.09","1372.29","2018-11-17","2018-11-17","0"
"40443","Amber Normanby","Female","Australia","Australia","1","4","624.00","305.88","624.00","2019-10-29","2019-10-29","0"
"40649","Kai De Vis","Male","Australia","Australia","2","8","11007.00","7360.16","3669.00","2017-12-20","2019-08-07","595"
"40669","Cody Wheare","Male","Australia","Australia","1","9","4359.00","2354.43","2179.50","2019-02-09","2019-02-09","0"
"41281","Lincoln D'Albertis","Male","Australia","Australia","2","10","630.68","337.41","126.14","2019-02-13","2019-09-24","223"
"41570","Rory Brough","Male","Australia","Australia","1","12","8377.97","5520.41","2094.49","2020-03-07","2020-03-07","0"
"42177","Brock James","Male","Australia","Australia","1","6","2557.87","1415.03","639.47","2018-02-20","2018-02-20","0"
"42364","Layla Silas","Female","Australia","Australia","2","26","8609.39","4872.84","860.94","2017-05-18","2018-10-09","509"
"42408","Noah Hinchcliffe","Male","Australia","Australia","1","7","1667.35","819.70","833.68","2019-09-23","2019-09-23","0"
"42840","Savannah Lansell","Female","Australia","Australia","1","5","1496.98","778.60","748.49","2019-05-03","2019-05-03","0"
"42956","Ben Raff","Male","Australia","Australia","2","2","172.99","84.80","86.50","2019-05-21","2019-10-30","162"
"43784","Jeremy Iliffe","Male","Australia","Australia","1","9","2915.94","1767.80","971.98","2020-01-27","2020-01-27","0"
"43840","Rose Vlamingh","Female","Australia","Australia","3","14","3593.79","2221.70","718.76","2016-12-17","2020-01-03","1112"
"44493","Jorja Colechin","Female","Australia","Australia","2","7","1043.45","623.00","208.69","2019-01-05","2020-06-27","539"
"44728","Abbey Remington","Female","Australia","Australia","3","27","12658.83","6992.18","1582.35","2016-04-27","2019-12-18","1330"
"45172","Audrey Crooke","Female","Australia","Australia","1","2","654.90","353.74","327.45","2019-05-28","2019-05-28","0"
"45250","Darcy Fryer","Male","Australia","Australia","1","5","4495.00","2427.90","4495.00","2019-08-03","2019-08-03","0"
"45436","Maya McIlveen","Female","Australia","Australia","3","6","1026.46","572.75","256.62","2017-05-25","2019-10-18","876"
"45781","Bailey Coxen","Male","Australia","Australia","1","1","6.89","3.72","6.89","2018-06-21","2018-06-21","0"
"45814","Declan Richard","Male","Australia","Australia","1","8","2687.97","1564.46","895.99","2021-02-10","2021-02-10","0"
"46155","Alice Phillip","Female","Australia","Australia","1","2","62.00","41.46","62.00","2020-12-31","2020-12-31","0"
"46917","Jamie Price","Male","Australia","Australia","1","8","313.99","153.93","157.00","2016-11-15","2016-11-15","0"
"46996","Jonathan Kempt","Male","Australia","Australia","1","3","29.97","14.70","29.97","2016-09-23","2016-09-23","0"
"47518","Alana Spencer","Female","Australia","Australia","1","10","2745.64","1601.16","915.21","2018-05-31","2018-05-31","0"
"48383","Chloe Gillen","Female","Australia","Australia","1","6","611.52","330.32","305.76","2021-01-13","2021-01-13","0"
"48466","Matilda Shields","Female","Australia","Australia","3","49","6746.09","3874.34","481.86","2018-12-12","2019-07-05","205"
"48733","Sophia Gunther","Female","Australia","Australia","1","23","3753.76","2397.12","750.75","2018-09-01","2018-09-01","0"
"49400","Mason Ransford","Male","Australia","Australia","2","20","2062.38","1036.72","412.48","2019-11-15","2020-02-20","97"
"49606","Claire Kerr","Female","Australia","Australia","1","2","1198.00","647.08","1198.00","2016-08-30","2016-08-30","0"
"49776","Jessica Warburton","Female","Australia","Australia","2","13","5856.00","3646.23","976.00","2018-10-11","2019-09-16","340"
"49950","Tayla Canterbury","Female","Australia","Australia","1","10","7963.99","5302.19","2654.66","2019-08-21","2019-08-21","0"
"50075","Jayden Lloyd","Male","Australia","Australia","1","5","2272.85","1403.26","568.21","2016-06-22","2016-06-22","0"
"50681","Benjamin Makin","Male","Australia","Australia","1","2","624.00","337.04","624.00","2016-06-25","2016-06-25","0"
"50741","Tyson Hurley","Male","Australia","Australia","1","2","25.32","13.68","25.32","2017-08-12","2017-08-12","0"
"51172","Gabriella Tozer","Female","Australia","Australia","2","4","1253.00","807.86","417.67","2018-09-04","2019-11-07","429"
"51314","Bianca Stobie","Female","Australia","Australia","2","48","9649.83","5747.55","964.98","2019-02-20","2019-02-21","1"
"51718","Phoebe Voss","Female","Australia","Australia","1","11","3299.99","1782.42","1650.00","2019-09-05","2019-09-05","0"
"52536","Jamie Kavanagh","Male","Australia","Australia","1","5","768.96","408.91","384.48","2018-11-09","2018-11-09","0"
"52694","Grace Bidwill","Female","Australia","Australia","1","8","4761.57","3166.11","2380.79","2018-08-08","2018-08-08","0"
"53318","Grace Osburn","Female","Australia","Australia","1","6","2149.98","1059.76","1074.99","2017-02-22","2017-02-22","0"
"53920","Jade Higgins","Female","Australia","Australia","2","19","757.54","441.82","151.51","2016-05-14","2018-01-06","602"
"54089","Jake Toft","Male","Australia","Australia","2","16","15182.99","9890.01","3036.60","2016-11-23","2017-01-12","50"
"54161","Leo Voss","Male","Australia","Australia","1","2","462.00","249.54","231.00","2019-06-11","2019-06-11","0"
"54752","Natasha Morrison","Female","Australia","Australia","1","2","320.00","156.86","320.00","2019-07-24","2019-07-24","0"
"54987","Isaac Sturt","Male","Australia","Australia","1","11","2440.98","1317.50","1220.49","2018-10-23","2018-10-23","0"
"55039","James Connal","Male","Australia","Australia","2","12","4662.75","2507.90","1165.69","2018-08-16","2019-06-05","293"
"55066","Samuel Atherton","Male","Australia","Australia","1","11","4413.79","2362.08","1103.45","2019-10-10","2019-10-10","0"
"55084","Angus Ten","Male","Australia","Australia","1","3","3498.80","2161.11","1749.40","2018-11-01","2018-11-01","0"
"55411","Lilian Stainforth","Female","Australia","Australia","2","18","1790.48","960.05","358.10","2018-08-13","2018-10-06","54"
"55914","Lachlan Webb","Male","Australia","Australia","2","10","791.57","410.35","263.86","2019-01-14","2019-10-11","270"
"56791","Charlie Kenyon","Male","Australia","Australia","1","5","841.97","438.27","420.99","2018-11-03","2018-11-03","0"
"56834","Abigail McElhone","Female","Australia","Australia","1","1","25.69","12.59","25.69","2020-05-13","2020-05-13","0"
"56999","Amelia Fargher","Female","Australia","Australia","1","14","854.79","471.23","213.70","2019-02-01","2019-02-01","0"
"57307","Eva Hickson","Female","Australia","Australia","1","7","966.70","481.68","322.23","2019-11-29","2019-11-29","0"
"57374","Jack Coote","Male","Australia","Australia","1","6","1800.00","972.24","1800.00","2019-05-21","2019-05-21","0"
"58066","Andrew Forde","Male","Australia","Australia","2","10","477.78","243.85","119.45","2016-05-19","2018-06-25","767"
"58710","Jordan Foveaux","Male","Australia","Australia","2","4","309.28","153.49","103.09","2017-01-12","2019-05-05","843"
"58919","Kaitlyn Fenton","Female","Australia","Australia","1","4","2889.99","1915.39","1445.00","2016-12-17","2016-12-17","0"
"59159","Maya Pasley","Female","Australia","Australia","2","31","7852.53","4985.47","713.87","2017-12-12","2021-02-20","1166"
"59304","Patrick Collie","Male","Australia","Australia","1","14","5851.47","3909.07","1950.49","2017-01-02","2017-01-02","0"
"59422","Amber Sykes","Female","Australia","Australia","2","9","1447.76","779.84","289.55","2017-08-15","2019-08-19","734"
"59529","Alice Blumenthal","Female","Australia","Australia","1","8","2838.96","1423.55","946.32","2018-04-28","2018-04-28","0"
"59842","Lucas McClure","Male","Australia","Australia","1","13","2497.85","1238.52","1248.93","2020-10-21","2020-10-21","0"
"59961","Harry Hambly","Male","Australia","Australia","1","8","437.94","220.08","218.97","2019-09-03","2019-09-03","0"
"60150","Jasmine Mackay","Female","Australia","Australia","1","17","959.20","510.85","239.80","2017-02-04","2017-02-04","0"
"60407","Alexander Earp","Male","Australia","Australia","1","7","1405.78","720.87","468.59","2018-05-08","2018-05-08","0"
"60411","Eliza Solly","Female","Australia","Australia","2","19","2309.67","1243.97","461.93","2019-01-16","2019-02-04","19"
"60454","Toby Normanby","Male","Australia","Australia","1","4","1989.00","1074.32","994.50","2018-02-22","2018-02-22","0"
"60722","Logan Dowie","Male","Australia","Australia","1","13","3313.85","1790.09","1104.62","2019-07-29","2019-07-29","0"
"60892","Seth Soubeiran","Male","Australia","Australia","1","13","1729.87","847.88","864.94","2020-08-27","2020-08-27","0"
"61718","Chloe Schlapp","Female","Australia","Australia","2","22","4645.14","2882.03","516.13","2017-07-15","2020-12-30","1264"
"61773","Gabrielle Kossak","Female","Australia","Australia","3","13","1805.91","990.63","361.18","2019-09-14","2020-06-04","264"
"61881","Rose Budd","Female","Australia","Australia","2","15","2887.16","1488.52","481.19","2018-10-06","2021-01-02","819"
"61947","Amber Tolmie","Female","Australia","Australia","2","8","2507.71","1350.95","835.90","2018-07-14","2019-10-12","455"
"62017","Grace Humphries","Female","Australia","Australia","1","3","479.97","259.26","479.97","2020-09-02","2020-09-02","0"
"62076","Brock Edden","Male","Australia","Australia","1","4","1199.96","588.20","1199.96","2019-12-25","2019-12-25","0"
"62125","Ava Lowes","Female","Australia","Australia","1","5","899.95","486.10","899.95","2018-01-19","2018-01-19","0"
"62163","Amelia O'Neil","Female","Australia","Australia","3","16","5496.94","2927.15","1099.39","2017-06-28","2019-02-15","597"
"62416","Isabelle Whitworth","Female","Australia","Australia","2","8","1997.94","1197.16","998.97","2018-06-30","2019-08-20","416"
"62590","Aiden Thirkell","Male","Australia","Australia","1","4","556.00","300.32","556.00","2021-01-12","2021-01-12","0"
"63342","Joel Spowers","Male","Australia","Australia","1","17","9301.25","6188.48","2325.31","2020-01-29","2020-01-29","0"
"63681","Justin Grahamslaw","Male","Australia","Australia","1","15","2916.98","1597.38","729.25","2019-02-14","2019-02-14","0"
"64037","Andrew Wilkie","Male","Australia","Australia","1","1","13.89","7.50","13.89","2019-07-04","2019-07-04","0"
"64511","Alice Gouger","Female","Australia","Australia","2","15","11205.00","7386.58","3735.00","2018-05-13","2018-10-23","163"
"64764","Jacob Pelsaert","Male","Australia","Australia","2","15","7258.99","3880.85","1814.75","2016-09-25","2019-11-08","1139"
